"IDnum","clean_code","shape_1","Perimeter1_1","L_1","area_LW_1","sd_shape","sd_perim","sd_L","sdarea"
2,"ALLFAL",0.0160855694430029,6.7092261,2.782955,3.9395413,0,0.270323015035079,0.181875629609907,0.374406441616609
3,"ANAARV",0.00850368516748637,3.0798627,1.2186506,0.90805242,0,0.168421202948012,0.0842107841948471,0.106081344585944
4,"ANCFIL",0.0908981674373994,4.9299958,2.2467486,1.57043591,0,0.568487863353261,0.219146795977897,0.325089999642002
5,"ATHPUS",0.112500573347027,7.36676976190476,3.02816233333333,4.66164233333333,0,1.16249999897557,0.485913645068373,1.18793270195901
6,"AVEFAT",0.128812591538648,17.256094,8.3045506,15.034906,0,0.715145619952872,0.345287285199248,0.840758240111601
7,"BROELE",0.00646163046559146,5.2069619,1.9897244,2.4423548,0,0.355438560024233,0.176579963625674,0.290322447937079
8,"BROHOR",0.164443905338797,23.105617,11.5616722,10.5009275,0,2.98003999681977,1.61846977429902,2.08493064924303
9,"BROMAD",0.192811177830355,19.844064,9.8378342,6.357938,0,0.728851508458494,0.341985223179404,0.475707348366152
10,"CALCIL",0.0393375488413412,3.2925725,1.40477205,0.96195821,0,0.428224049066607,0.130273496944929,0.334882795240863
11,"CALPAU",0.0798481645828806,6.9108573,3.1241771,3.1275179,0,0.422921112690469,0.204946515326669,0.332095619322524
12,"CASATT",0.0301118150033316,3.2061593,1.3161426,0.77137323,0,0.385201314257609,0.114515000965133,0.152504318633277
14,"CENTRI",0.0197124473467112,1.1942777,0.49632319,0.138053818,0,0.162972933816938,0.0686518443877099,0.0345889546357041
15,"CHAGLA",0.167150117991576,9.385826,4.4757715,1.829655,0,0.926270056737115,0.412546152310866,0.296105295935228
16,"CHLPOM",0.0338082289778339,9.7957353,3.9750172,7.8861525,0,0.425620535793733,0.27161142192756,0.687409850175158
17,"CLAGRA",0.068871392160152,3.9595069,1.7858771,1.02980691,0,0.295439623489564,0.130542116305173,0.160478942572846
20,"CRYHIS",0.0689721305359475,4.1744326,1.8966638,1.04492786,0,0.385505689697802,0.173274517794292,0.16901819544491
21,"DICCAP",0.0834496677971634,7.5534188,3.5540285,3.5063314,0,0.521044572949762,0.296756785681567,0.674564663244081
22,"ELYELY",0.168979818599343,12.390356,5.9824668,4.6832256,0,1.36985237585296,0.611637442615885,1.32612466468572
23,"EPIBRA",0.0718922368788964,5.6257347,2.4683216,2.3206004,0,0.348690769392547,0.118264466948915,0.171738421345565
24,"ERINUD",0.0762992447806136,6.0467234,2.9026044,2.1503402,0,0.316546875488959,0.14359545184704,0.215435813065207
25,"ERILAN",0.124306937339838,5.6501077,2.6588743,1.19358635,0,0.482511115872428,0.23355806985894,0.124186051257791
26,"EUPCRE",0.0177933811316605,4.6884814,1.8966638,2.0992822,0,0.0485439427972224,0.037076230508238,0.058238846375937
27,"FILCAL",0.0770205754253072,1.4956167,0.67358149,0.15631697,0,0.0602290247639053,0.0503099866072875,0.0239477670945678
28,"FRIPUR",0.0925579247195386,18.889086,7.6797152,30.801318,0,0.680551909379439,0.316848528254538,2.21948405231586
29,"GALAPA",0.0297728962292792,2.3220836,0.96162618,0.44656384,0,0.183250238565981,0.069441896595992,0.0660860868579798
30,"GALMUR",0.0393961385388555,2.685463,1.09456976,0.55771385,0,0.253666197161195,0.0754648761689717,0.0732969521968494
31,"GILCAP",0.0500820471481005,4.8923287,2.1138051,2.0295679,0,0.367035913247086,0.165875782777656,0.312922136766552
32,"GILTRI",0.0333890051869702,3.1950805,1.3515943,0.84580058,0,0.510184488466291,0.253494002866625,0.222500384496676
34,"HOLVIR",0.0688461455485735,7.9389553,3.4919882,3.7710491,0,0.781917984431452,0.253106539099776,0.382799276817049
35,"HYPGLA",0.171446886743429,9.5608684,4.6796187,1.7332332,0,1.79570468207747,0.958033404084296,0.324657597810986
36,"LACSER",0.130772320732899,7.3041491,3.5695386,2.6395183,0,0.70340863289645,0.340985774317932,0.428926127254922
37,"LAGMIN",0.109595477196117,5.182589,2.4151443,1.4934557,0,0.706910549317553,0.30861529569138,0.55431706938379
38,"LASCAL",0.148224287906511,7.33898522222222,3.37775511111111,1.09404424444444,0,0.853686655555008,0.345239891870654,0.145798105232845
39,"LEPNIT",0.0675770111232029,4.7261489,2.0163131,1.8294586,0,0.140543202032092,0.0522252569430411,0.123293753060819
40,"LINDIC",0.0510326920986906,2.9934492,1.3161428,0.64019267,0,0.252297032009583,0.138647838588594,0.100747914326204
41,"LOLMUL",0.134825362489575,10.3452363,5.0075464,5.2189448,0,1.06444491645657,0.490806050361874,0.995188022148333
42,"LOMMAR",0.0409206308169273,22.228189,9.2794706,40.092163,0,2.74183469854868,0.929362093677785,8.67841200246918
43,"LOTHUM",0.0342950382525693,6.4189656,2.4195756,3.8036478,0,0.478087680589427,0.141991048533349,0.507683994257101
44,"MEDPOL",0.0703588945372101,7.3274143,3.1108829,4.4147766,0,0.528280620564288,0.227692434517584,0.538396238738141
45,"MICCAL",0.0683423714286345,6.1331366,2.5658136,2.8926496,0,0.549214662042529,0.226394960829373,0.426077815829769
46,"MICDOU",0.166405576274013,13.3924957142857,6.22936242857143,3.36451828571429,0,1.62232181981933,0.529836964148362,0.709319990572124
47,"MIMDOU",0.0595371442069219,2.2511802,0.97935201,0.4379232,0,0.407918782026194,0.15695397838771,0.174505408721646
48,"MIMGUT",0.0244375320031869,1.3139268,0.54950069,0.15081841,0,0.13540346718341,0.0667175937107455,0.0316352534346468
49,"NASPUL",0.157700786192583,12.820204,6.2971005,5.2735378,0,0.701859095532873,0.375121204927228,0.511893281014662
50,"NAVJEP",0.07445128279767,4.5754794,2.1847085,1.4268834,0,0.326689408043515,0.143291234416136,0.204550233577748
51,"PETPRO",0.0440422393229814,2.6921101,1.2053562,0.51019034,0,0.21181821511457,0.074738627364971,0.082092421515241
52,"PHLGRA",0.0825818379198115,6.5208891,2.8272694,3.6661831,0,0.714478691032443,0.309003869833085,0.744463632806339
54,"RIGLEP",0.179505174671448,10.9058157,5.3487687,2.0327098,0,0.709862563197514,0.36185708142766,0.39863247936687
55,"SIDDIP",0.0141581766228091,7.280884,2.8272697,4.5304431,0,0.202321457850839,0.0997488558275231,0.37891183482718
56,"SILGAL",0.0172385670557757,2.3929869,0.90401724,0.47071834,0,0.191460766766951,0.0814445537875813,0.0884309770091052
57,"SISBEL",0.0113789787810636,5.2302272,2.02296035,2.5712768,0,0.224753987222661,0.0816804856423233,0.235299731210753
58,"TAECAP",0.172399775421879,15.625318,7.7195984,6.6599675,0,1.11882864034767,0.551830531415458,1.00433392456087
59,"THYCUR",0.0639266464390393,5.01739411111111,2.07293722222222,2.331881,0,0.264524939815911,0.130667670765168,0.226041947451131
60,"TRIALB",0.0790521366143158,5.0053309,2.2556118,1.709668,0,0.16297292173204,0.0607249584397644,0.244003061901098
61,"TRIFUC",0.027876066852338,7.0172122,2.5702451,4.4501243,0,0.28318382721076,0.144730687025132,0.295230402831811
62,"TRIHIR",0.0221950011295135,4.9056229,2.0118817,2.292911,0,0.326012484858905,0.108949535195633,0.298589747077454
63,"TRIWIL",0.0326135258038997,5.0008993,2.0030186,2.3200112,0,0.369590732420801,0.20553136929227,0.314517459594782
64,"TRIGRA",0.056927602072455,4.3228865,1.9143896,1.4901173,0,0.217209411490515,0.115935256614486,0.148498375659691
65,"UROLIN",0.205705343337396,24.40624875,12.0424825,3.647232625,0,1.51176083576582,0.746708718190319,0.416211619927012
66,"VELRIG",0.0973847171370818,3.3213771,1.542147,0.63803251,0,0.150078341350591,0.0686518572978506,0.076025641920962
67,"VICVIL",0.0109056144086614,12.000385,4.3383964,13.8503527,0,1.38487230322069,0.547324347085224,3.29359784414039
68,"VIODOU",0.0529643099062228,8.3976109,3.6515207,5.3748692,0,0.626092832351464,0.364350945273936,0.766967781666479
69,"VULMIC",0.19062819918567,18.9370944444444,9.62118588888889,4.39559666666667,0,4.61306560372577,2.23299353716756,1.09590360352177
71,"ZIGFRE",0.0458173951867573,2.4572429,1.02366662,0.44577833,0,0.222665594110416,0.0989802285978119,0.0702888600776357
