"","clean_code","SCT","mass","SCP","C","N","cn","L","W","area","Fit_shape","Intensity","P","texture_1","Fit_rect","Fit_compact","germ_is_disp","lump_dispcat","mucilage","starch","annual","family","Functional.group","nat.inv","how3d","SCTmm","SCTperL","SCPpc","SCTperW","SCTperMass","disp2"
"ALLFAL","ALLFAL",2.8,4.06432,1.413291606564,0.436761092150171,32.6689419795222,13.369306310071,2.782955,2.0650592,3.9395413,0.0160855694430029,5.033866,6.7092261,0.102710678,0.74678339,0.97568124,0,"coarse",0,0,"bulb","ALLIACEAE","Forb","native",0,0.035,0.0125765598078302,0.411709707897016,0.0169486666532369,0.00861152665144477,0
"ANAARV","ANAARV",1.8,0.43258,1.29293938697498,0.505330016583748,22.9850746268657,21.9851370851371,1.2186506,1.0280981,0.90805242,0.00850368516748637,7.176409,3.0798627,0.37827335,0.81554451,0.98884772,0,"coarse",0,0,"annual","Primulaceae","Forb","invasive",0,0.0225,0.0184630442884942,0.292570160432752,0.0218850710841699,0.0520135003929909,0
"AVEFAT","AVEFAT",6.6,13.36454,1.28138236628843,0.425799367825653,17.7657627682582,23.9674126790898,8.3045506,2.3974183,15.034906,0.128812591538648,36.966633,17.256094,0.31011749,0.77405444,0.99663199,1,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.269706614727089,0.0825,0.00993431239975827,0.28132655519756,0.0344120172937697,0.00617305197185986,1
"BROELE","BROELE",3.4,2.6702,1.41372611113605,0.457297161936561,26.661101836394,17.1522229179712,1.9897244,1.7016795,2.4423548,0.00646163046559146,3.8314516,5.2069619,0.152937437,0.8051196,0.9832442,0,"coarse",0,1,"perennial","THEMIDACEAE","Forb","native",0,0.0425,0.0213597420828734,0.413145082765336,0.0249753258471998,0.0159164107557486,0
"BROHOR","BROHOR",0.22,1.7235,1.47811438153477,0.403233106013639,18.7755734655921,21.4764735017335,11.5616722,1.8789379,10.5009275,0.164443905338797,31.684679,23.105617,4.6325961,0.52244457,0.91272819,1,"elong_short",0,1,"annual","Poaceae","Grass","invasive",0.117180610950795,0.00275,0.000237854866703451,0.478375398897592,0.00146359280953351,0.00159559036843632,1
"CALCIL","CALCIL",2.8,0.336877777777778,1.33705257365764,0.478072449318711,32.5623130608176,14.6817717901613,1.40477205,0.94168466,0.96195821,0.0393375488413412,7.024024,3.2925725,0.02114261805,0.789683385,0.98821218,0,"smooth",0,1,"annual","MONTIACEAE","Forb","native",0,0.035,0.024915074299777,0.326171707510142,0.0371674313989568,0.103895247204723,0
"CALPAU","CALPAU",5,1.38771846153846,1.47707841492196,0.452674212946586,27.8705341351256,16.2420357913441,3.1241771,1.444655,3.1275179,0.0798481645828806,7.3893639,6.9108573,0.14377073,0.7311858,0.96745141,0,"elong_short",0,0,"annual","Asteraceae","Forb","native",0.201368759552104,0.0625,0.020005267947198,0.480427752470297,0.0432629243660251,0.0450379538301385,2
"CHAGLA","CHAGLA",1.1,0.513210693069307,1.7771183643123,0.48241295264624,28.0222841225627,17.2153330019881,4.4757715,0.66028713,1.829655,0.167150117991576,13.89008905,9.385826,-1.13837098448867,NA,0.88546561,1,"elong_short",0,0,"annual","Asteraceae","Forb","native",0,0.01375,0.0030720960620979,0.770040212770391,0.0208242738276604,0.0267921151793755,1
"CHLPOM","CHLPOM",4.6,10.0696781818182,1.31344484119946,0.497337115072934,34.3176661264182,14.4921601964674,3.9750172,2.7120518,7.8861525,0.0338082289778339,4.4755521,9.7957353,0.48139391,0.76625936,0.97693909,0,"coarse",0,0,"bulb","AGAVACEAE","Forb","native",0.16586980786892,0.0575,0.0144653462128415,0.313587163478906,0.0212016599387962,0.00571021227905991,0
"CLAGRA","CLAGRA",2,0.4084,2.93286827670435,0.517165648336728,63.9850644942295,8.08259946949602,1.7858771,0.8153881,1.02980691,0.068871392160152,11.849313,3.9595069,0.30493249,0.79495482,0.96736571,0,"smooth",0,0,"annual","Onagraceae","Forb","native",0,0.025,0.0139987236523723,1.90808031341822,0.0306602463293247,0.0612144955925563,0
"CLAPUR","CLAPUR",2.2,0.38446,1.36448461437597,0.538604395604396,56.5457875457875,9.52510202759604,1.502264,1.01480362,0.97815948,0.0254110584002415,14.020755,3.4853409,0.27197291,0.76264321,0.95628091,0,"smooth",0,0,"annual","Onagraceae","Forb","native",0,0.0275,0.0183057039242104,0.366436040160225,0.0270988390837628,0.0715288976746606,0
"COLSPA","COLSPA",1.175,2.03816888888889,2.25046897653287,0.413686113393591,20.1002465078061,20.5811462676805,3.1330402,2.2112972,5.1113296,0.0563528744529359,13.7594231,7.7173826,0.94400706,0.78745827,0.98297673,0,"flat",0,0,"annual","Plantaginaceae","Forb","native",0.357115397136589,0.0146875,0.00468793857161488,1.22300191021134,0.00664202894120248,0.0072062232330545,2
"CRYHIS","CRYHIS",4.6,0.35916,1.44558512880415,0.519812350733538,46.301603548277,11.2266597892565,1.8966638,0.87299704,1.04492786,0.0689721305359475,12.6693285,4.1744326,0.26073704,0.6861189,0.93423793,0,"smooth",0,0,"annual","Boraginaceae","Forb","native",0,0.0575,0.0303163902848781,0.445650963358949,0.0658650572286018,0.160095779039982,0
"DICCAP","DICCAP",1.8,1.18632142857143,1.60109362109678,0.494248739495798,41.690756302521,11.855115697815,3.5540285,1.4313608,3.5063314,0.0834496677971634,5.041452,7.5534188,0.105273335,0.72112719,0.97507251,0,"coarse",0,1,"perennial","THEMIDACEAE","Forb","native",0,0.0225,0.00633084399857795,0.526781467320947,0.0157193071097099,0.0189661920101153,0
"ELYELY","ELYELY",2.5,2.5275,1.85899894918456,0.413631561571476,21.5978870914493,19.1514827269948,5.9824668,1.06354994,4.6832256,0.168979818599343,35.738312,12.390356,1.4597506,0.76570198,0.98492722,1,"elong_long",0,1,"perennial","Poaceae","Grass","native",0.262328084301555,0.03125,0.00522359773062176,0.859531816683153,0.0293827293149958,0.0123639960435213,1
"ERINUD","ERINUD",2.2,0.9957,1.72770791278403,0.421308030112923,25.0062735257215,16.8480933266433,2.9026044,1.2408079,2.1503402,0.0762992447806136,15.398703,6.0467234,0.5983603,0.64354775,0.95164494,0,"smooth",0,1,"shrub","polygonaceae","Forb","native",0,0.0275,0.00947425009071164,0.721828864115698,0.0221629794587865,0.0276187606708848,0
"FRIPUR","FRIPUR",0.9,5.359325,2.60651505225003,0.454314349347757,30.2131721285396,15.0369629317607,7.6797152,5.6988539,30.801318,0.0925579247195386,19.242952,18.889086,0.067495308,0.76268121,0.96490111,0,"flat",0,0,"bulb","LILIACEAE","Forb","native",0.63908138930938,0.01125,0.00146489807330355,1.60048140390814,0.00197408113936734,0.00209914494829106,2
"GALAPA","GALAPA",1.085,0.15036,1.79135764621845,0.47180349062702,26.0116354234001,18.1381709741551,0.96162618,0.62040399,0.44656384,0.0297728962292792,12.6964889,2.3220836,0.63041581,0.84598626,0.97874891,0,"elong_short",0,0,"annual","Rubiaceae","Forb","native",0,0.0135625,0.0141037133577208,0.792564511838255,0.0218607556021682,0.0902001862197393,2
"GALMUR","GALMUR",1,0.14551,1.93293663685144,0.457488702388638,27.0916720464816,16.886691290361,1.09456976,0.68687586,0.55771385,0.0393961385388555,18.059156,2.685463,0.78271515,0.83411066,0.96895456,0,"elong_short",0,0,"annual","Rubiaceae","Forb","invasive",0,0.0125,0.0114200121881679,0.932650676929421,0.0181983393622248,0.0859047488145145,2
"GILCAP","GILCAP",3.4,1.30115,7.0036195844297,0.483361618798956,25.4895561357702,18.9631241997439,2.1138051,1.3028482,2.0295679,0.0500820471481005,13.222789,4.8923287,0.40876464,0.78267735,0.99166224,0,"coarse",1,0,"annual","Polemoniaceae","Forb","native",0.239187267398149,0.0425,0.0201059217805842,5.93425047073743,0.032620837945664,0.0326634131345348,0
"GILTRI","GILTRI",0.3,0.383825,6.99663791923924,0.448650154798762,28.4613003095975,15.7635157184815,1.3515943,0.86413413,0.84580058,0.0333890051869702,18.732731,3.1950805,0.604638149,0.78919758,0.97869132,0,"coarse",1,0,"annual","Polemoniaceae","Forb","native",0,0.00375,0.00277450119462623,5.95864000521071,0.00433960408437982,0.00977007750928157,0
"HOLVIR","HOLVIR",8.8,1.901375,1.65505169799344,0.556614654002714,42.072591587517,13.2298637426429,3.4919882,1.6041876,3.7710491,0.0688461455485735,8.0783162,7.9389553,0.27247647,0.72514003,0.95431434,0,"coarse",0,0,"annual","Asteraceae","Forb","native",0.0380669930815803,0.11,0.0315006791832802,0.646348037604365,0.0685705337704892,0.0578528696338176,0
"HYPGLA","HYPGLA",3.6,0.542825,1.50193902121488,0.489033834586466,33.1315789473684,14.7603540224668,4.6796187,0.62483544,1.7332332,0.171446886743429,13.89008905,9.5608684,-1.13837098448867,NA,0.93415558,1,"elong_long",0,0,"annual","Asteraceae","Forb","invasive",0,0.045,0.00961616808651525,0.497029429374108,0.072018962304699,0.0828996453737392,1
"LACSER","LACSER",0.65,0.6075,2.24157150399078,0.57010355540214,43.8280980324474,13.0077183586674,3.5695386,1.11894288,2.6395183,0.130772320732899,20.6608395,7.3041491,0.09680149,0.695229945,0.978867195,0,"elong_long",0,0,"annual","Asteraceae","Forb","invasive",0.5026039656554,0.008125,0.00227620454923782,1.24094650205761,0.00726131793251144,0.0133744855967078,2
"LAGMIN","LAGMIN",1.2,0.334022222222222,1.8503244945782,0.512894736842105,49.0853658536585,10.4490356325597,2.4151443,0.90844863,1.4934557,0.109595477196117,11.8666457,5.182589,0.211077346,0.70923461,0.94448337,0,"smooth",0,0,"annual","Asteraceae","Forb","native",0.373175669020514,0.015,0.00621080901874062,0.84363149491052,0.0165116656073332,0.0449071918036059,0
"LASCAL","LASCAL",0.95,0.194075,2.01677112248096,0.470237654320988,42.1111111111111,11.166593374377,3.37775511111111,0.684413922222222,1.09404424444444,0.148224287906511,13.89008905,7.33898522222222,-1.13837098448867,NA,0.8194345,0,"elong_long",0,0,"annual","Asteraceae","Forb","native",0,0.011875,0.00351564859185239,0.946154837047533,0.0173506113982064,0.0611876851732578,2
"LINDIC","LINDIC",1.4,0.232925,1.66365898645201,0.535685295035904,31.0615048392132,17.2459543672731,1.3161428,0.70017023,0.64019267,0.0510326920986906,11.835427,2.9934492,0.205066826,0.7694816,0.95236607,0,"coarse",0,0,"annual","Polemoniaceae","Forb","native",0,0.0175,0.0132964295363695,0.664913598797896,0.0249939218352657,0.0751314800901578,0
"LOLMUL","LOLMUL",2.4,2.2463,1.46743133136385,0.416038961038961,17.1969696969697,24.1925739458779,5.46633247058824,1.41024605882353,5.69346370588235,0.138984883456356,30.3076164705882,11.3901478235294,2.89696152941176,0.769973841176471,0.989342741176471,0,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.473045638929422,0.03,0.00548814038688936,0.466055290922851,0.0212728834179667,0.013355295374616,2
"LOMMAR","LOMMAR",4.6,6.14315,2.25499692726126,0.446851680542707,35.5164970706136,12.5815245702379,9.2794706,5.4241036,40.092163,0.0409206308169273,27.825987,22.228189,1.09737859,0.79837748,0.99811491,0,"flat",0,0,"perennial","Apiaceae","Forb","native",0,0.0575,0.00619647418248192,1.21781984812352,0.0106008299693981,0.0093600188828207,2
"LOTHUM","LOTHUM",2.6,3.090225,1.16188591457005,0.412008059100067,31.124916051041,13.2372424209731,2.4195756,2.0783535,3.8036478,0.0342950382525693,11.572741,6.4189656,0.33090038,0.80687543,0.99350528,0,"smooth",0,0,"annual","Fabaceae","N-fixer","native",0.394444748538495,0.0325,0.0134321076803717,0.163458971434119,0.0156373783381893,0.010517033549337,0
"MEDPOL","MEDPOL",1.61,3.243275,1.31027838162172,0.514376801152738,57.6512968299712,8.92220694826294,3.1108829,1.8567804,4.4147766,0.0703588945372101,23.687946,7.3274143,0.073094137,0.7926178,0.97733158,1,"elong_short",0,0,"annual","Fabaceae","N-fixer","invasive",0.37017929740771,0.020125,0.00646922454072444,0.317896262265765,0.0108386538332697,0.00620514757459667,1
"MICDOU","MICDOU",7.2,1.81959166666667,2.08490205254905,0.503683473389356,23.3648459383754,21.5573205454818,6.22936242857143,1.00024304285714,3.36451828571429,0.166405576274013,13.89008905,13.3924957142857,-1.13837098448867,NA,0.9124945,1,"elong_long",0,0,"annual","Asteraceae","Forb","native",0,0.09,0.0144477064919531,1.08456567636511,0.0899781314578504,0.049461646614854,1
"MIMDOU","MIMDOU",0.7,3.5401,2.06018751697026,0.460810606060606,15.8143939393939,29.1386826347305,0.97935201,0.6115411,0.4379232,0.0595371442069219,17.319935,2.2511802,0.086766652,0.809534,0.98098381,1,"coarse",0,0,"annual","PHRYMACEAE","Forb","native",0.326008921198968,0.00875,0.00893447903374395,1.05477246405469,0.0143081143687644,0.00247168159091551,1
"MIMGUT","MIMGUT",1.4,0.027863152173913,1.29820932497317,0.552800949474398,45.0356052899288,12.274753407123,0.54950069,0.38110532,0.15081841,0.0244375320031869,10.8619017,1.3139268,0.090246422,0.90179714,0.98230325,0,"coarse",0,0,"perennial","PHRYMACEAE","Forb","native",0,0.0175,0.0318470937679805,0.288764445276673,0.0459190651025286,0.6280696416102,0
"NASPUL","NASPUL",0.9,4.61013333333333,1.24937397317245,0.406909265790317,31.6575825585123,12.8534535142799,6.2971005,1.1211586,5.2735378,0.157700786192583,20.11833,12.820204,0.73422656,0.78258047,0.99046347,0,"elong_long",0,1,"perennial","Poaceae","Grass","native",0,0.01125,0.00178653651787835,0.249248033317909,0.0100342627706731,0.00244027649236465,2
"PETPRO","PETPRO",0.95,0.238165909090909,1.48186198728543,0.257239215686275,12.5372549019608,20.5179856115108,1.2053562,0.70903314,0.51019034,0.0440422393229814,8.300277,2.6921101,0.195890449,0.67824619,0.89071208,0,"elong_short",0,1,"annual","Caryophyllaceae","Forb","invasive",0.148190908514653,0.011875,0.00985185955819533,0.482942562957452,0.0167481593314524,0.049860200585917,2
"PHLGRA","PHLGRA",1.2,2.088525,7.24046080793695,0.470654652445752,29.5991173225451,15.9009691848907,2.8272694,1.7371311,3.6661831,0.0825818379198115,18.122561,6.5208891,0.231105283,0.77648109,0.99451136,0,"coarse",1,1,"annual","Polemoniaceae","Forb","native",0.532379874862224,0.015,0.00530547248168144,6.23062927185454,0.00863492686303296,0.00718210220131432,0
"PLAERE","PLAERE",5.2,1.8042,17.4839293972724,0.444843962008141,27.2998643147897,16.294731610338,2.4018499,1.3427315,2.4343032,0.0660474246685181,9.0336294,5.5016539,0.101629991,0.79586213,0.99779356,0,"coarse",1,0,"annual","Plantaginaceae","Forb","native",0.289044889724501,0.065,0.0270624738040458,16.4552571776965,0.0484087846304343,0.0360270479991132,0
"SISBEL","SISBEL",5.4,3.315775,1.60383233023536,0.461060507482108,26.9290826284971,17.1212853346219,2.02296035,1.69060085,2.5712768,0.0113789787810636,13.89008905,5.2302272,-1.13837098448867,NA,0.994725625,0,"coarse",0,0,"perennial","Iridaceae","Forb","native",0,0.0675,0.0333669416704089,0.604421289140548,0.0399266331848822,0.020357231718075,0
"TAECAP","TAECAP",2.11,3.471825,1.32447524839528,0.388742746615087,14.6776273372018,26.4853942455524,7.7195984,1.2275138,6.6599675,0.172399775421879,30.287136,15.625318,1.7594912,0.73083986,0.98508456,1,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.39202099709946,0.026375,0.00341662851269569,0.323885852541531,0.0214865201515453,0.00759686908182296,1
"THYCUR","THYCUR",1.625,0.64705,1.82625399199522,0.445615006150062,12.2662976629766,36.3284031085485,2.07293722222222,1.58055311111111,2.331881,0.0639266464390393,18.8748977777778,5.01739411111111,0.431660166666667,0.788750688888889,0.990131188888889,1,"flat",0,0,"annual","Brassicaceae","Forb","native",0.519322503068459,0.0203125,0.00979889780657453,0.827911289699405,0.012851513724661,0.03139247353373,1
"TRIALB","TRIALB",2.4,1.92219722222222,1.27131560844848,0.457014294996751,49.9220272904483,9.15456202004425,2.2556118,0.95276329,1.709668,0.0790521366143158,16.015394,5.0053309,0.132569775,0.85328673,0.99359215,1,"balloon",0,0,"annual","Fabaceae","N-fixer","native",0,0.03,0.0133001609585479,0.27115815090081,0.0314873592579328,0.0156071393992119,1
"TRIFUC","TRIFUC",1.4,5.813,1.10865299677876,0.416624787775891,26.6519524617997,15.6320550388585,2.5702451,2.3663981,4.4501243,0.027876066852338,7.5072708,7.0172122,0.87382758,0.78808843,0.98742135,1,"balloon",0,0,"annual","Fabaceae","N-fixer","native",0.275715983933303,0.0175,0.00680868917909813,0.112119387579563,0.0073952053967589,0.00301049372097024,1
"TRIGRA","TRIGRA",2,1.254525,1.23999104300609,0.397250615763547,31.3269704433498,12.6807862407862,1.9143896,1.0679811,1.4901173,0.056927602072455,13.89008905,4.3228865,-1.13837098448867,NA,0.9878014,1,"balloon",0,0,"annual","Fabaceae","N-fixer","native",0.0996311498430359,0.025,0.0130589927985401,0.233614316175445,0.023408653954644,0.0199278611426636,1
"TRIWIL","TRIWIL",0.8,2.242575,1.76539477534153,0.412323379461034,40.8630735615441,10.0903662775154,2.0030186,1.542147,2.3200112,0.0326135258038997,15.940127,5.0008993,0.204131456,0.80176218,0.99378975,1,"balloon",0,0,"annual","Fabaceae","N-fixer","native",0.26857965168444,0.01,0.00499246487276753,0.764032418090811,0.00648446613714516,0.00445915967135993,1
"UROLIN","UROLIN",7.1,2.092575,1.98029835887129,0.443190266982089,21.7100371747212,20.4140722291407,12.0424825,0.6979545,3.647232625,0.205705343337396,13.35088,24.40624875,1.76554375,0.483914475,0.7057840875,1,"elong_short",0,0,"annual","Asteraceae","Forb","native",0,0.08875,0.00736974290807564,0.980108239848034,0.127157286040852,0.042411860984672,1
"VICVIL","VICVIL",8,44.17595,1.12687927763481,0.392607868020305,28.2011421319797,13.9217009787378,4.3383964,4.0370574,13.8503527,0.0109056144086614,4.058337,12.000385,0.10652205,0.81529379,0.99716154,0,"coarse",0,0,"annual","Fabaceae","N-fixer","invasive",0.197082093079117,0.1,0.0230499914668932,0.127443778798192,0.0247705172584368,0.00226367514450736,0
"VIODOU","VIODOU",4,4.79637777777778,1.51669071068664,0.522243800418285,44.4188825814162,11.7572475953454,3.6515207,1.9852929,5.3748692,0.0529643099062228,38.127236,8.3976109,1.08106285,0.76837513,0.98702186,0,"smooth",0,0,"perennial","VIOLACEAE","Forb","native",0.0789550748509378,0.05,0.013692925251663,0.516139494155311,0.0251852006321082,0.0104245333283913,0
"VULMIC","VULMIC",1.2,0.820125,1.83793055465936,0.443214971209213,26.9705694177863,16.4332819357134,9.62118588888889,1.08324506666667,4.39559666666667,0.19062819918567,37.7330844444444,18.9370944444444,0.207125355555556,0.456596411111111,0.742833644444444,1,"elong_long",0,1,"annual","Poaceae","Grass","native",0.320823920504283,0.015,0.00155905936889993,0.841274196006706,0.0138472820800907,0.0182898948331047,1
"ZIGFRE","ZIGFRE",0.7,0.113577759197324,2.92255782158072,0.547669724770642,25.0825688073394,21.8346744696416,1.02366662,0.58495235,0.44577833,0.0458173951867573,10.4153802,2.4572429,0.45862807,0.84320458,0.96966174,0,"coarse",0,1,"perennial","MELANTHIACEAE","Forb","native",0,0.00875,0.00854770472050754,1.89840844501142,0.0149584833704831,0.0770397308578541,0
"RIGLEP","RIGLEP",1.8,0.7238,1.7217444946248,0.472940813810111,31.596794081381,14.968,5.3487687,0.62926691,2.0327098,0.179505174671448,13.89008905,10.9058157,-1.13837098448867,NA,0.90467484,1,"elong_short",0,0,"annual","Asteraceae","Forb","native",0,0.0225,0.00420657561804832,0.718361425808234,0.0357558925194398,0.0310859353412545,1
"SIDDIP","SIDDIP",1,4.93715,4.3413889583529,0.436444174757282,27.4302184466019,15.9110717840947,2.8272697,2.2068658,4.5304431,0.0141581766228091,20.92946,7.280884,0.4222893,0.78260476,0.98161251,0,"balloon",1,0,"annual","Malvaceae","Forb","native",0,0.0125,0.00442122659893395,3.39854977061665,0.00566414142627069,0.00253182504076238,2
"ANCFIL","ANCFIL",2.2,0.364233333333333,1.75879567767535,0.496955562559092,57.2486605735897,8.68064960088081,2.2467486,1.08570697,1.57043591,0.0908981674373994,11.898513,4.9299958,0.30288033,0.69586934,0.96188142,0,"smooth",0,0,"annual","Asteraceae","Forb","native",0.323246244413756,0.0275,0.0122399097077439,0.762777218510724,0.0253291180400177,0.0755010524389129,0
"ATHPUS","ATHPUS",1.4,0.35224,1.94383595778878,0.450639147802929,25.3328894806924,17.7886990801577,3.02816233333333,2.2157284952381,4.66164233333333,0.112500573347027,35.7810395238095,7.36676976190476,0.203849686666667,0.762167861904762,0.988873509523809,1,"balloon",0,0,"annual","Brassicaceae","Forb","native",0,0.0175,0.00577908251726268,0.943845105609811,0.00789807958764346,0.0496820349761526,1
"BROMAD","BROMAD",1.1,1.35485333333333,1.76549088581139,0.421435478492831,27.8576192064021,15.1281943862589,9.8378342,0.93060596,6.357938,0.192811177830355,24.772517,19.844064,1.6623597,0.73446217,0.97034335,1,"elong_long",0,1,"annual","Poaceae","Grass","invasive",0.39983320063832,0.01375,0.00139766535199384,0.767162989351868,0.0147753190834927,0.0101486999822859,1
"CASATT","CASATT",1.15,0.167055,1.57459948806141,0.58631037212985,42.9493269992082,13.6512120932805,1.3161426,0.9350374,0.77137323,0.0301118150033316,13.748108,3.2061593,0.33230081,0.72807743,0.93783108,0,"other",0,0,"annual","Orobanchaceae","Forb","native",0,0.014375,0.0109220687788694,0.543912683447565,0.0153737166021381,0.0860495046541558,0
"CENTRI","CENTRI",0.75,0.0376137927170868,1.26613182340198,0.542019230769231,47.1212121212121,11.5026589166461,0.49632319,0.37224239,0.138053818,0.0197124473467112,10.4924025,1.1942777,0.09161803,0.93903345,0.98924919,0,"coarse",0,0,"annual","Asteraceae","Forb","native",0,0.009375,0.0188889018060994,0.255573898483512,0.0251852025772777,0.249243676927619,0
"EPIBRA","EPIBRA",1.1,0.953675,3.24955467164069,0.540336963921035,44.9557522123894,12.0193064809207,2.4683216,1.3028486,2.3206004,0.0718922368788964,11.1111555,5.6257347,0.34863844,0.76246537,0.97973164,1,"elong_long",1,0,"annual","Onagraceae","Forb","native",0.31319299953581,0.01375,0.00557058691217546,2.23050305397541,0.0105537972716093,0.0144179096652424,1
"ERILAN","ERILAN",6.2,0.174602777777778,6.48264337488122,0.547499181669394,38.7234042553191,14.1387151310228,2.6588743,0.71346458,1.19358635,0.124306937339838,12.0670282,5.6501077,1.27721532,0.6965307,0.87589565,1,"elong_short",0,0,"perennial","Asteraceae","Forb","native",0,0.0775,0.0291476735098007,4.0609001384094,0.108624873851481,0.44386464514692,1
"EUPCRE","EUPCRE",2.9,0.7176,1.88433667781494,0.49744847605225,31.0304789550073,16.0309635173059,1.8966638,1.4978324,2.0992822,0.0177933811316605,14.3416118,4.6884814,0.380006178,0.79193708,0.9960649,0,"coarse",0,0,"annual","Euphorbiaceae","Forb","native",0,0.03625,0.0191125069187275,0.884336677814939,0.0242016396494027,0.050515607580825,0
"FILCAL","FILCAL",0.416666666666667,0.0292324637681159,1.46050278856657,0.503667189952904,51.309262166405,9.81630155427732,0.67358149,0.34122222,0.15631697,0.0770205754253072,20.89815,1.4956167,0.50188432,0.84412825,0.95432226,0,"smooth",0,0,"annual","Asteraceae","Forb","native",0.262562689130937,0.00520833333333334,0.00773229877996401,0.332958196168643,0.015263757833043,0.178169495894975,0
"LEPNIT","LEPNIT",3,1.038625,17.0488221085113,0.457175897748022,37.522824102252,12.1839416058394,2.0163131,1.2053563,1.8294586,0.0675770111232029,20.332375,4.7261489,0.63310104,0.8004082,0.98770284,0,"smooth",1,0,"annual","Brassicaceae","Forb","native",0.350042958064205,0.0375,0.0185983020196615,16.1116861234806,0.0311111328658588,0.03610542784932,0
"MICCAL","MICCAL",5.3,0.745175,1.91554381952997,0.438681898066784,19.8031634446397,22.1521121760738,2.5658136,1.6839538,2.8926496,0.0683423714286345,37.932685,6.1331366,1.69248462,0.71686143,0.96387469,1,"elong_long",0,0,"annual","Asteraceae","Forb","native",0.395519319035392,0.06625,0.0258202700305276,0.914952863421344,0.0393419344402441,0.088905290703526,1
"NAVJEP","NAVJEP",2.8,0.670225,2.15904736825206,0.473741183685986,35.7743023612389,13.2424995714041,2.1847085,0.94390033,1.4268834,0.07445128279767,37.832402,4.5754794,0.80341907,0.73873037,0.98666127,1,"balloon",0,0,"annual","Polemoniaceae","Forb","native",0,0.035,0.0160204439173464,1.13920698272968,0.0370801862099148,0.0522212689768361,1
"SILGAL","SILGAL",1.8,0.264463888888889,1.33944124390804,0.46760621761658,28.594127806563,16.3532254167673,0.90401724,0.66471857,0.47071834,0.0172385670557757,9.9715766,2.3929869,0.051207103,0.88186914,0.97101484,0,"coarse",0,1,"annual","Caryophyllaceae","Forb","native",0.0721735210062135,0.0225,0.0248889058797153,0.342256346697195,0.0338489114272827,0.0850777778944825,0
"TRIHIR","TRIHIR",5.1,2.65935,1.09752068982913,0.415070197830249,32.2271857051691,12.879504950495,2.0118817,1.5421471,2.292911,0.0221950011295135,32.910379,4.9056229,0.184193979,0.79122663,0.99692689,1,"balloon",0,0,"annual","Fabaceae","N-fixer","invasive",0.120161096527515,0.06375,0.0316867537489903,0.0997706206403822,0.0413384689437214,0.0239720232387614,1
"VELRIG","VELRIG",1.2,0.166146111111111,1.43889394825624,0.402631012203877,31.0875807609476,12.9515067544164,1.542147,0.54063778,0.63803251,0.0973847171370818,8.0841766,3.3213771,0.087415251,0.8576151,0.97551632,0,"coarse",0,0,"annual","Caryophyllaceae","Forb","invasive",0,0.015,0.00972669920571774,0.438415985929386,0.0277450088671199,0.0902819807197815,0
