in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,notes
y,y,both,y,1,anthocarp,seed,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,2020,12,,,0.3115,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-1,wild,,,
y,y,both,y,1,achene + pappus,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,,,,0.72,,38.86537177,-122.4029395,663,location approximate,,MCL-ML,MCL-ML-1a,wild,,,
y,y,both,y,1,achene + remnant flower,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,,,,,44,38.86537177,-122.4029395,663,location approximate,,MCL-ML,MCL-ML-1b,wild,,,"only 44 of this morph, 43 of them are in their dispersules and 1 is clean"
y,y,both,,1,seed,seed,Achyronychia cooperi,,ACHCOO,ACCO3,Caryophyllaceae,forb,native,2017,60,,,0.110518868,1100,33.87157,-116.44117,394,,24787,CBG,CBG-24787,wild,,,
y,y,both,,1,seed,seed,Acmispon americanus,Lotus purshianus,ACMAME,LOUNU,Fabaceae,forb,native,2021,76,,,1.155,,NA,NA,NA,,,HED,HED-1,cultivated,,x,
y,y,both,,1,seed,seed,Acmispon maritimus var. brevivexillus,Lotus salsuginosus var. brevivexillus,ACMMARB,LOSAB,Fabaceae,forb,native,2007,78,,,0.3715,100,33.9038,-111.82012,1016,,W6 32602,GRIN,GRIN-W6-32602,wild,,,collected before 2007; cannot order more
y,y,both,,1,seed,seed,Acmispon strigosus,Lotus strigosus,ACMSTR,LOST4,Fabaceae,forb,native,2011,30,,,0.568,427,33.66545,-116.83133,760,,23436,CBG,CBG-23436,wild,,,
y,y,both,,1,seed,seed,Acmispon wrangelianus,Lotus wrangelianus,ACMWRA,LOWR2,Fabaceae,forb,native,2021,,,,0.49,,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,MCL-ML-16,wild,,,
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,1.37,,39.24872381,-121.315312,193,,,SFREC,SFREC-20a,wild,,,"morph 2, small"
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,3.58,,39.24872381,-121.315312,193,,,SFREC,SFREC-20,wild,,,spikelet
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,3.58,,39.24872381,-121.315312,193,,,SFREC,SFREC-20b,wild,,,"morph 1, large"
y,y,both,y,1,achene + pappus,achene,Agoseris heterophylla,,AGOHET,AGHE2,Asteraceae,forb,native,2015,,,,0.17,,38.82669382,-122.3390715,399,,,MCL-ML,MCL-ML-7,wild,,,
y,y,both,,1,seed,seed,Aliciella latifolia ssp. latifolia,,ALILATL,ALLAL3,Polemoniaceae,forb,native,1998,30,,,0.088171893,1750,33.60372,-115.92266,240,,19964,CBG,CBG-19964,wild,,,not enough of this species for phosphorus
y,y,both,,1,seed,seed,Amaranthus fimbriatus,,AMAFIM,AMFI,Amaranthaceae,forb,native,2010,74,73,0.26,0.064,400,31.83397,-110.85645,1111,,PI 662285,GRIN,GRIN-PI-662285,wild,,,
y,y,both,,1,seed,seed,Amaranthus hybridus,,AMAHYB,AMHY,Amaranthaceae,forb,native,2010,100,31,0.56,0.112,200,31.79261,-110.74676,1580,,PI 688207,GRIN,GRIN-PI-688207,wild,,,
y,y,both,,1,seed,seed,Amaranthus palmeri,,AMAPAL,AMPA,Amaranthaceae,forb,native,1999,84,9,0.3,0.12,400,33.41666667,-112,345,,PI 612856,GRIN,GRIN-PI-612856,wild,,,
y,y,both,,1,seed,seed,Amaranthus torreyi,,AMATOR,AMTO6,Amaranthaceae,forb,native,2010,95,0,,0.14,400,31.79261,-110.74676,1580,,PI 688211,GRIN,GRIN-PI-688211,wild,,,
y,y,both,,1,nutlet,nutlet,Amsinckia intermedia,,AMSINT,AMMEI2,Boraginaceae,forb,native,2013,92,,,0.89,200,33.393283,-111.3626803,709,,W6 48213,GRIN,GRIN-W6-48213,wild,,,
y,y,both,,1,nutlet,nutlet,Amsinckia menziesii,,AMSMEN,AMME,Boraginaceae,forb,native,2021,,,,0.7,,39.23602182,-121.3049973,353,,,SFREC,SFREC-1,wild,,x,
y,y,both,,1,nutlet,nutlet,Amsinckia tessellata,,AMSTES,AMTE3,Boraginaceae,forb,native,2018,78,,,0.9543,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-3,wild,,,
y,y,morph,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2019,,,,0.1646,,38.86556193,-122.402132,679,near kathy's house,,MCL-EE,MCL-EE-5,wild,,,only need 200
y,y,chem,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2021,,,,1.139,,NA,NA,NA,,,OUT,OUT-1,cultivated,,x,
y,y,both,,1,achene,achene,Ancistrocarphus filagineus,,ANCFIL,ANFI3,Asteraceae,forb,native,2019,,,,0.0614,,38.87251,-122.4273,663,,,MCL-EE,MCL-EE-6,wild,,,
y,y,both,,1,achene,achene,Anisocoma acaulis,,ANIACA,ANAC,Asteraceae,forb,native,2003,8,,,2.0816,193,34.32338,-117.27163,960,,21059,CBG,CBG-21059,wild,,,
y,y,both,y,1,mericarp,seed,Anoda pentaschista,,ANOPEN,ANPE4,Malvaceae,forb,native,2007,83,,5.282,0.5282,100,34.24222,-112.04806,1118,,W6 36754,GRIN,GRIN-W6-36754,wild,,,cannot order more
y,y,morph,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2006,30,,,0.24306204,1800,34.70846,-118.69405,1195,,22016,CBG,CBG-22016,wild,,,
y,y,chem,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2019,68,,,0.2508,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-4,wild,,,
y,y,both,,1,seed,seed,Antirrhinum multiflorum,Sairocarpus multiflorus,ANTMUL,SAMU2,Plantaginaceae,forb,native,2001,16.3,,,0.313104711,20900,34.09281,-118.60984,253,,22451,CBG,CBG-22451,wild,,,
y,y,both,,1,seed,seed,Argemone munita,,ARGMUN,ARMU,Papaveraceae,forb,native,2004,,,,0.308722664,101,33.29491,-115.38441,183,,21422,CBG,CBG-21422,wild,,,
y,y,both,y,1,floret,caryopsis,Aristida adscensionis,,ARIADS,ARAD,Poaceae,grass,native,2003,63.3,,,0.150966027,204,32.89794,-118.48631,183,,21102,CBG,CBG-21102,wild,,,
y,y,both,y,1,seed + papery covering,seed,Astragalus didymocarpus,,ASTDID,ASDI3,Fabaceae,forb,native,2020,,,,0.13,102,35.12182297,-119.7248455,,,,CP,CP-11,wild,,,93 disperules
y,y,both,y,1,seed + papery covering,seed,Astragalus didymocarpus var. dispermus,,ASTDIDD,ASDID,Fabaceae,forb,native,2003,20,,,0.57,600,33.78216,-116.93819,506,,21062,CBG,CBG-21062,wild,,,
y,y,both,y,1,seed + papery covering,seed,Astragalus gambelianus,,ASTGAM,ASGA,Fabaceae,forb,native,2021,,,,0.28,,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,MCL-ML-17,wild,,,
y,y,both,y,1,silicle,seed,Athysanus pusillus,,ATHPUS,ATPU,Brassicaceae,forb,native,2021,,,,0.008,25,38.87146422,-122.4276015,719,,,MCL-ML,MCL-ML-37,wild,,,
y,y,both,y,1,silicle,seed,Athysanus pusillus,,ATHPUS,ATPU,Brassicaceae,forb,native,2018,,,,0.0514,140,NA,NA,NA,,,MCL-EE,MCL-EE-8,wild,,,check notes on bag for location estimate
y,y,both,,1,achene,achene,Atrichoseris platyphylla,,ATRPLA,ATPL,Asteraceae,forb,native,1998,14,,,0.543977508,600,35.72784,-117.40285,510,,20046,CBG,CBG-20046,wild,,,
y,y,both,,1,utricle,utricle,Atriplex elegans var. fasciculata,,ATRELEF,ATELF,Chenopodiaceae,forb,native,2014,97.2,,,0.591860931,600,35.00113,-116.62708,546,,23921,CBG,CBG-23921,wild,,,
y,y,both,y,1,floret,caryopsis,Avena barbata,,AVEBAR,AVBA,Poaceae,grass,invasive,2021,,,,1.44,,39.24532189,-121.3139005,236,,,SFREC,SFREC-2,wild,,x,
y,y,both,y,1,floret,caryopsis,Avena fatua,,AVEFAT,AVFA,Poaceae,grass,invasive,2021,,,,2.53,,39.25181407,-121.3129181,202,,,SFREC,SFREC-3,wild,,,
y,y,both,,1,anthocarp,anthocarp,Boerhavia erecta,,BOEERE,BOER,Nyctaginaceae,forb,native,2007,75,,1.94,0.388,200,34.23667,-112.03944,1133,,W6 36758,GRIN,GRIN-W6-36758,wild,,,
y,y,both,,1,anthocarp,anthocarp,Boerhavia triquetra var. intermedia,Boerhavia intermedia,BOETRII,BOIN,Nyctaginaceae,forb,native,2012,0,,,0.578996406,600,33.6087,-114.93563,109,,23519,CBG,CBG-23519,wild,,,
y,y,both,y,1,floret,caryopsis,Bouteloua barbata,,BOUBAR,BOBA2,Poaceae,grass,native,2012,2,,,0.223081559,1859,33.60871,-114.95355,106,,23528,CBG,CBG-23528,wild,,,
y,y,both,,1,seed,seed,Brassica nigra,,BRANIG,BRNI,Brassicaceae,forb,invasive,2021,,,,1.52,,38.82412343,-122.3374759,387,,,MCL-ML,MCL-ML-28,wild,x,x,
y,y,both,,1,seed,seed,Brassica tournefortii,,BRATOU,BRTO,Brassicaceae,forb,invasive,2021,,,,1.64,,33.98481267,-116.653222,649,whitewater preserve,,MD,MD-2,wild,,,
y,y,both,y,1,floret,caryopsis,Bromus diandrus,,BRODIA,BRDI3,Poaceae,grass,invasive,2021,,,,1.89,,38.56483847,-121.4745267,4,R&27,,SAC,SAC-01,wild,,,do this one
y,y,both,y,1,floret,caryopsis,Bromus hordeaceus,,BROHOR,BRHO2,Poaceae,grass,invasive,2021,,,,0.41,,39.2473973,-121.3144869,216,location estimate,,SFREC,SFREC-4,wild,,x,
y,y,both,y,1,floret,caryopsis,Bromus madritensis,,BROMAD,BRMA3,Poaceae,grass,invasive,2021,,,,0.44,,39.24532189,-121.3139005,236,,,SFREC,SFREC-5,wild,,,
y,y,both,y,1,floret,caryopsis,Bromus rubens,,BRORUB,BRRU2,Poaceae,grass,invasive,2021,,,,0.407,,34.01680584,-116.6278051,748,Whitewater preserve & mission creek,,MD,MD-4,wild,,,
y,y,both,y,1,floret,caryopsis,Bromus tectorum,,BROTEC,BRTE,Poaceae,grass,invasive,2021,,,,0.63,,34.01680584,-116.6278051,748,Whitewater preserve & mission creek,,MD,MD-5,wild,,,
y,y,both,,1,seed,seed,Calandrinia menziesii,Calandrinia ciliata,CALMEN,CACI2,Montiaceae,forb,native,2021,,,,0.19,,38.85967354,-122.4114163,646,knoxville road,,MCL-ML,MCL-ML-18,wild,,,
y,y,both,y,1,achene + pappus,achene,Calycadenia multiglandulosa,,CALMUL,CAMU3,Asteraceae,forb,native,2021,,,,0.2,,39.293063,-121.28962,429,,,SFREC,SFREC-18a,wild,,,"morph 2, disc"
y,y,both,,1,achene,achene,Calycadenia multiglandulosa,,CALMUL,CAMU3,Asteraceae,forb,native,2021,,,,0.19,,39.293063,-121.28962,429,,,SFREC,SFREC-18b,wild,,,"morph 1, ray"
y,y,both,,1,achene,achene,Calycadenia pauciflora,,CALPAU,CAPA6,Asteraceae,forb,native,2016,,,,0.1863,,NA,NA,NA,,,MCL-EE,MCL-EE-10,wild,,,check notes on bag for location estimate
y,y,chem,,1,seed,seed,Calyptridium monandrum,Cistanthe monandra,CALMON,CIMO4,Montiaceae,forb,native,1996,91.5,,,0.149245812,1900,33.31805,-116.74555,1192,,19520,CBG,CBG-19520,wild,,,
y,y,morph,,1,seed,seed,Calyptridium monandrum,Cistanthe monandra,CALMON,CIMO4,Montiaceae,forb,native,2003,67.3,,,0.200023313,2500,34.43305,-117.58658,1250,,21042,CBG,CBG-21042,wild,,,
y,y,both,,1,seed,seed,Camissonia campestris,,CAMCAM,CACA33,Onagraceae,forb,native,2019,,,,0.0244,,35.12182297,-119.7248455,,,,CP,CP-12,wild,,,
y,y,both,,1,seed,seed,Camissoniopsis ignota,Camissonia ignota,CAMIGN,CAIG2,Onagraceae,forb,native,2003,11.6,,,0.209065141,2300,33.78216,-116.93819,506,,21165,CBG,CBG-21165,wild,,,
y,y,morph,,1,seed,seed,Camissoniopsis pallida,Camissonia pallida,CAMPAL,CAPA36,Onagraceae,forb,native,2011,20.5,,,0.155,1550,33.96135,-116.6659,1390,,23460,CBG,CBG-23460,wild,,,
y,y,chem,,1,seed,seed,Camissoniopsis pallida,Camissonia pallida,CAMPAL,CAPA36,Onagraceae,forb,native,2019,82,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-7,cultivated,,,
y,y,both,,1,seed,seed,Capsella bursa-pastoris,,CAPBUR,CABU2,Brassicaceae,forb,invasive,2021,,,,0.1692,,38.58438631,-121.4644342,12,Sutter's landing,,SAC,SAC-07,wild,,,
y,y,both,,1,seed,seed,Capsella bursa-pastoris,,CAPBUR,CABU2,Brassicaceae,forb,invasive,2019,,,,0.1996,,35.12182297,-119.7248455,,,,CP,CP-1,wild,,,
y,y,both,,1,achene,achene,Carduus pycnocephalus,,CARPYC,CAPY2,Asteraceae,forb,invasive,2021,,,,0.876,141,39.24532189,-121.3139005,236,,,SFREC,SFREC-6,wild,,,
y,y,both,,1,seed,seed,Castilleja attenuata,,CASATT,CAAT25,Orobanchaceae,forb,native,2019,,,,0.2452,,38.86983,-122.42793,671,,,MCL-EE,MCL-EE-11,wild,,,
y,y,both,,1,seed,seed,Castilleja exserta,,CASEXS,CAEX14,Orobanchaceae,forb,native,1997,100,,,0.19,1500,34.09941,-118.69897,216,,22368,CBG,CBG-22368,wild,,,
y,y,both,,1,seed,seed,Caulanthus anceps,,CAUANC,CAAN25,Brassicaceae,forb,native,2010,88,,,0.251004742,1650,35.20075,-119.85575,634,,23305,CBG,CBG-23305,wild,,,
y,y,both,,1,seed,seed,Caulanthus heterophyllus,,CAUHET,CAHE11,Brassicaceae,forb,native,1996,62,,,0.181457355,600,33.33055,-116.75333,1387,,19136,CBG,CBG-19136,wild,,,
y,y,both,,1,seed,seed,Caulanthus lasiophyllus,Guillenia lasiophylla,CAULAS,GULA4,Brassicaceae,forb,native,1996,84,,,0.120751264,1050,34.09444,-118.64868,386,,22341,CBG,CBG-22341,wild,,,
y,y,both,,1,seed,seed,Caulanthus lasiophyllus,Guillenia lasiophylla,CAULAS,GULA4,Brassicaceae,forb,native,,,,,0.3647,,35.12182297,-119.7248455,,,,CP,CP-2,wild,,,
y,y,both,y,1,achene + pappus,achene,Centaurea melitensis,,CENMEL,CEME2,Asteraceae,forb,invasive,2021,,,,1.06,,38.859917,-122.425658,671,,,MCL-ML,MCL-ML-38,wild,,,
y,y,both,y,1,achene + pappus,achene,Centaurea solstitialis,,CENSOL,CESO3,Asteraceae,forb,invasive,2021,,,,,,38.87190074,-122.4265917,651,,,MCL-ML,MCL-ML-39a,wild,,x,disc morph
y,y,both,,1,achene,achene,Centaurea solstitialis,,CENSOL,CESO3,Asteraceae,forb,invasive,2021,,,,,,38.87190074,-122.4265917,651,,,MCL-ML,MCL-ML-39b,wild,,x,ray morph
y,y,morph,,1,achene,achene,Chaenactis artemisiifolia,,CHAART,CHAR,Asteraceae,forb,native,1996,,,,0.311994202,600,34.09444,-118.64868,386,,22342,CBG,CBG-22342,wild,,,
y,y,chem,,1,achene,achene,Chaenactis artemisiifolia,,CHAART,CHAR,Asteraceae,forb,native,2019,75,,,0.2,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-9,wild,,,
y,y,both,,1,achene,achene,Chaenactis carphoclinia,,CHACAR,CHCA,Asteraceae,forb,native,2017,20.8,,,0.191986605,600,33.5114,-116.2221,252,,24825,CBG,CBG-24825,wild,,,
y,y,both,y,1,achene + pappus,achene,Chaenactis fremontii,,CHAFRE,CHFR,Asteraceae,forb,native,2015,,,,0.164,,33.281305,-116.348812,181,,,DW,DW-04,wild,,,
y,y,both,,1,achene,achene,Chaenactis fremontii,,CHAFRE,CHFR,Asteraceae,forb,native,2011,81,,,0.0653,100,36.42772,-113.96945,773,,W6 43492,GRIN,GRIN-W6-43492,wild,,,
y,y,chem,,1,achene + pappus,achene + pappus,Chaenactis glabriuscula,,CHAGLA,CHGL,Asteraceae,forb,native,2020,66,,,0.241,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-10,wild,,,
y,y,morph,,1,achene + pappus,achene + pappus,Chaenactis glabriuscula,,CHAGLA,CHGL,Asteraceae,forb,native,,,,,0.1663,,35.12182297,-119.7248455,,,,CP,CP-3,wild,,,
y,y,both,y,1,achene + pappus,achene,Chaenactis stevioides,,CHASTE,CHST,Asteraceae,forb,native,2015,,,,0.16,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-1,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium album,,CHEALB,CHAL7,Chenopodiaceae,forb,native,2005,75,23,0.6,0.2,400,34.74944444,-112.0125,1009,,PI 666270,GRIN,GRIN-PI-666270,wild,,,
y,y,chem,,1,utricle,utricle,Chenopodium arizonicum,,CHEARI,CHNEN,Chenopodiaceae,forb,native,2014,94,0,,0.06,200,31.911,-109.1542,1481,,Ames 33027,GRIN,GRIN-Ames-33027,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium arizonicum,,CHEARI,CHNEN,Chenopodiaceae,forb,native,2014,100,0,,0.06,200,31.9141,-109.1309,1470,,Ames 33026,GRIN,GRIN-Ames-33026,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri,,CHEBER,CHBE4,Chenopodiaceae,forb,native,2008,99,13,1.068,0.2,200,34.28444444,-109.8444444,1985,,PI 666296,GRIN,GRIN-PI-666296,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri var. sinuatum,,CHEBERS,CHBES,Chenopodiaceae,forb,native,2014,95,85,,0.14,200,34.2605,-112.7292,1365,,Ames 33009,GRIN,GRIN-Ames-33009,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri var. zschackei,,CHEBERZ,CHBEZ,Chenopodiaceae,forb,native,2008,100,34,,0.26,199,34.28444444,-109.8444444,1985,,PI 666293,GRIN,GRIN-PI-666293,wild,,,NOT in an aridland
y,y,both,,1,utricle,utricle,Chenopodium hians,,CHEHIA,CHHI,Chenopodiaceae,forb,native,2008,98,12,,0.16,400,34.63694444,-111.8169444,991,,PI 666312,GRIN,GRIN-PI-666312,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium incanum var. elatum,,CHEINCE,CHINE,Chenopodiaceae,forb,native,2008,98,95,,0.2,400,34.49472222,-111.715,1284,,PI 666314,GRIN,GRIN-PI-666314,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium incanum var. occidentale,,CHEINCO,CHINO,Chenopodiaceae,forb,native,2008,92,,,0.2,400,35.45416667,-113.6058333,1284,,PI 691474,GRIN,GRIN-PI-691474,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium murale,,CHEMUR,CHMU2,Chenopodiaceae,forb,invasive,2015,,,,0.1585,,33.260428,-116.348116,165,,,DW,DW-05,wild,,,
y,y,both,,1,utricle,utricle,Chenopodium neomexicanum,,CHENEO,CHNE3,Chenopodiaceae,forb,native,2008,99,65,,0.14,200,34.50083333,-111.4633333,2110,,PI 666319,GRIN,GRIN-PI-666319,wild,,,NOT in an aridland
y,y,both,,1,utricle,utricle,Chenopodium watsonii,,CHEWAT,CHWA,Chenopodiaceae,forb,native,2008,95,93,,0.09,200,34.51472222,-112.0069444,1355,,PI 666330,GRIN,GRIN-PI-666330,wild,,,
y,y,chem,,1,utricle,utricle,Chenopodium watsonii,,CHEWAT,CHWA,Chenopodiaceae,forb,native,2005,99,98,,0.08,200,34.77388889,-112.6108333,1412,,Ames 28061,GRIN,GRIN-Ames-28061,wild,,,
y,y,both,y,1,achene,seed,Chorizanthe brevicornu,,CHOBRE,CHBR,Polygonaceae,forb,native,2015,,,,0.1411,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-2,wild,,,
y,y,both,,1,achene,seed,Chorizanthe brevicornu var. brevicornu,,CHOBREB,CHBRB,Polygonaceae,forb,native,1998,13.6,,,0.365179952,166,33.65655,-115.80227,457,,19949,CBG,CBG-19949,wild,,,
y,y,chem,,1,,seed,Chorizanthe fimbriata,,CHOFIM,CHFI2,Polygonaceae,forb,native,1996,,,,0.037784247,59,33.31805,-116.74555,1265,,19183,CBG,CBG-19183,wild,,,
y,y,both,,1,achene,,Chorizanthe fimbriata,,CHOFIM,CHFI2,Polygonaceae,forb,native,2003,88,,,0.221565217,182,33.63663,-117.04461,564,,21158,CBG,CBG-21158,wild,,,
y,y,chem,,1,,seed,Chorizanthe staticoides,,CHOSTA,CHST4,Polygonaceae,forb,native,2016,88,,,0.1988,413.8,34.09983,-118.8159,568,,24537,CBG,CBG-24537,wild,,,
y,y,morph,,1,achene,,Chorizanthe staticoides,,CHOSTA,CHST4,Polygonaceae,forb,native,2019,58,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-11,cultivated,,,
y,y,both,,1,seed,seed,Chylismia brevipes,Camissonia brevipes,CHYBRE,CABR23,Onagraceae,forb,native,2011,2,,,0.324302453,600,34.27282,-116.48488,1112,,23447,CBG,CBG-23447,wild,,,
y,y,both,,1,seed,seed,Chylismia cardiophylla,Camissonia cardiophylla,CHYCAR,CACA34,Onagraceae,forb,native,2010,89.1,,,0.171500083,4900,36.11072,-117.18143,701,,23231,CBG,CBG-23231,wild,,,
y,y,both,,1,seed,seed,Chylismia claviformis,Camissonia claviformis,CHYCLA,CACL4,Onagraceae,forb,native,2015,,,,0.1599,,33.239927,-116.390627,212,,,DW,DW-06,wild,,,
y,y,both,,1,seed,seed,Chylismia claviformis ssp. claviformis,Camissonia claviformis ssp. claviformis,CHYCLAC,CACLC3,Onagraceae,forb,native,1998,11,,,0.224249111,1950,36.14974,-117.29304,362,,19901,CBG,CBG-19901,wild,,,
y,y,both,,1,seed,seed,Chylismia claviformis ssp. funerea,Camissonia claviformis ssp. funerea,CHYCLAF,CACLF,Onagraceae,forb,native,1998,,,,0.192501625,2750,35.65866,-116.28395,136,,19900,CBG,CBG-19900,wild,,,
y,y,both,,1,seed,seed,Clarkia dudleyana,,CLADUD,CLDU,Onagraceae,forb,native,2003,96,,,0.145778137,600,34.16358,-117.68269,714,,21170,CBG,CBG-21170,wild,,,
y,y,both,,1,seed,seed,Clarkia epilobioides,,CLAEPI,CLEP,Onagraceae,forb,native,2003,20,,,0.040050633,1000,33.63663,-117.04461,564,,21078,CBG,CBG-21078,wild,,,
y,y,both,,1,seed,seed,Clarkia gracilis,,CLAGRA,CLGR,Onagraceae,forb,native,2018,,,,0.1243,,38.87149122,-122.4275575,657,location estimate,,MCL-EE,MCL-EE-13,wild,,,
y,y,both,,1,seed,seed,Clarkia purpurea,,CLAPUR,CLPU2,Onagraceae,forb,native,2017,,,,0.21,,38.87001302,-122.4283065,665,location estimate,,MCL-ML,MCL-ML-14,wild,x,x,
y,y,both,,1,seed,seed,Clarkia unguiculata,,CLAUNG,CLUN,Onagraceae,forb,native,2003,,,,0.167999549,600,34.16358,-117.68269,714,,21169,CBG,CBG-21169,wild,,,
y,y,both,,1,seed,seed,Claytonia parviflora ssp. parviflora,,CLAPARP,CLPAP,Montiaceae,forb,native,2005,0,,,0.24,600,34.41231,-117.77355,1588,,21666,CBG,CBG-21666,wild,,,
y,y,both,,1,seed,seed,Claytonia parviflora ssp. viridis,,CLAPARV,CLPAV,Montiaceae,forb,native,2005,0,,,0.249974066,600,34.41231,-117.77355,1588,,21667,CBG,CBG-21667,wild,,,
y,y,both,,1,seed,seed,Claytonia perfoliata,,CLAPER,CLPE,Montiaceae,forb,native,2003,,,,0.2066103,600,34.32333,-117.27166,960,,21086,CBG,CBG-21086,wild,,,
y,y,both,,1,seed,seed,Collinsia concolor,,COLCON,COCO,Plantaginaceae,forb,native,2003,4,,,0.2758,550.2,33.63663,-117.04461,564,,21075,CBG,CBG-21075,wild,,,
y,y,morph,,1,seed,seed,Collinsia heterophylla,,COLHET,COHE,Plantaginaceae,forb,native,2001,10,,,0.337608696,600,33.78286,-117.37926,703,,20790,CBG,CBG-20790,wild,,,
y,y,chem,,1,seed,seed,Collinsia heterophylla,,COLHET,COHE,Plantaginaceae,forb,native,2020,98,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-15,cultivated,,,
y,y,both,,1,seed,seed,Collinsia parviflora,,COLPAR,COPA3,Plantaginaceae,forb,native,2005,4.1,,,0.117545723,136,34.41231,-117.77356,1590,,21674,CBG,CBG-21674,wild,,,
y,y,both,,1,seed,seed,Collinsia sparsiflora,,COLSPA,COSP,Plantaginaceae,forb,native,2021,,,,0.12,117,38.87130959,-122.4275048,661,,,MCL-ML,MCL-ML-35,wild,,,
y,y,both,,1,seed,seed,Convolvulus equitans,,CONEQU,COEQ,Convolvulaceae,forb,native,2004,99,,12.71,1.0168,80,33.96722,-111.8175,1241,,W6 30101,GRIN,GRIN-W6-30101,wild,,,
y,y,both,,1,seed,seed,Cordylanthus nevinii,,CORNEV,CONE,Orobanchaceae,forb,native,2019,3.3,,,0.171705526,281,34.36752,-117.80118,2411,,25587,CBG,CBG-25587,wild,,,
y,y,both,,1,seed,seed,Cordylanthus rigidus ssp. setiger,Cordylanthus filifolius,CORRIGS,CORIR,Orobanchaceae,forb,native,2020,55,,,0.285898858,600,34.10015,-116.91265,2155,,25618,CBG,CBG-25618,wild,,,
y,y,both,,1,nutlet,nutlet,Cryptantha angustifolia,,CRYANG,CRAN4,Boraginaceae,forb,native,2019,,,,0.170403482,600,33.75473,-116.18117,81,,25341,CBG,CBG-25341,wild,,,
