Sample ID,δ13CVPDB (‰),Total C (µg),C Comment,δ15NAir (‰),Total N (µg),N Comment,Tray Name,Well Id,Type of Material,Analysis,Sample Weight (mg) from Sample List,Internal ID,Analysis Number,Mass Spec
Vulmic,-25.38,1385.49,,-1.59,84.31,,YaySeeds,A1,Plant seeds,"13C, 15N",3.126,1671251,557007,P
Triwil,-27.35,1132.24,,-0.85,112.21,,YaySeeds,A2,Plant seeds,"13C, 15N",2.746,1671252,557008,P
Casatt,-31.56,1481.02,,-1.93,108.49,,YaySeeds,A3,Plant seeds,"13C, 15N",2.526,1671253,557009,P
Riglep,-28.63,1534.22,,-3.21,102.50,,YaySeeds,A4,Plant seeds,"13C, 15N",3.244,1671254,557010,P
Silgal,-28.54,1353.72,,-0.90,82.78,,YaySeeds,A5,Plant seeds,"13C, 15N",2.895,1671255,557011,P
Lacser,-25.47,1651.59,,0.17,126.97,,YaySeeds,A6,Plant seeds,"13C, 15N",2.897,1671256,557012,P
Cryhis,-28.61,1523.57,,1.76,135.71,,YaySeeds,A7,Plant seeds,"13C, 15N",2.931,1671257,557013,P
Poasec,-24.74,1396.09,,1.37,121.09,,YaySeeds,A8,Plant seeds,"13C, 15N",3.09,1671258,557014,P
Mimgut,-29.62,1630.21,,-1.60,132.81,,YaySeeds,A9,Plant seeds,"13C, 15N",2.949,1671259,557015,P
Galmur-1,-29.33,1427.91,,-1.96,85.84,,YaySeeds,A10,Plant seeds,"13C, 15N",3.101,1671260,557016,P
Chagla,-30.86,1385.49,,-1.23,80.48,,YaySeeds,A11,Plant seeds,"13C, 15N",2.872,1671261,557017,P
Ancfil,-27.63,1576.84,,-2.40,181.65,,YaySeeds,A12,Plant seeds,"13C, 15N",3.173,1671262,557018,P
Clagra,-26.98,1523.57,,2.22,188.50,,YaySeeds,B1,Plant seeds,"13C, 15N",2.946,1671263,557025,P
Clapur,-25.00,1470.39,,-0.40,154.37,,YaySeeds,B2,Plant seeds,"13C, 15N",2.73,1671264,557026,P
Vulmyo,-26.25,1343.13,,-2.73,74.56,,YaySeeds,B3,Plant seeds,"13C, 15N",3.026,1671265,557027,P
Lagmin,-27.84,1598.18,,-1.22,152.95,,YaySeeds,B4,Plant seeds,"13C, 15N",3.116,1671266,557028,P
Anaarv,-29.16,1523.57,,0.95,69.30,,YaySeeds,B5,Plant seeds,"13C, 15N",3.015,1671267,557029,P
Galape,-28.70,1459.76,,-1.66,80.48,,YaySeeds,B6,Plant seeds,"13C, 15N",3.094,1671268,557030,P
Hypgla,-28.61,1300.83,,-1.59,88.13,,YaySeeds,B7,Plant seeds,"13C, 15N",2.66,1671269,557031,P
Viodou,-27.92,1747.95,,0.95,148.67,,YaySeeds,B8,Plant seeds,"13C, 15N",3.347,1671270,557032,P
Sisbel,-25.99,1417.30,,2.32,82.78,,YaySeeds,B9,Plant seeds,"13C, 15N",3.074,1671271,557033,P
Petpro,-24.65,655.96,,-2.81,31.97,,YaySeeds,B10,Plant seeds,"13C, 15N",2.55,1671272,557034,P
Chlpom-1,-26.24,1598.18,,1.16,103.25,,YaySeeds,B11,Plant seeds,"13C, 15N",3.07,1671273,557035,P
Brohor,-25.51,1300.83,,-2.19,60.57,,YaySeeds,B12,Plant seeds,"13C, 15N",3.226,1671274,557036,P
Allgal,-26.79,1279.71,,-3.15,95.72,,YaySeeds,C1,Plant seeds,"13C, 15N",2.93,1671275,557042,P
Trifuc,-27.02,1226.96,,-0.96,78.49,,YaySeeds,C2,Plant seeds,"13C, 15N",2.945,1671276,557043,P
Lommar,-26.66,1449.14,,-0.32,115.18,,YaySeeds,C3,Plant seeds,"13C, 15N",3.243,1671277,557044,P
Medpol,-25.14,1427.91,,-0.51,160.04,,YaySeeds,C4,Plant seeds,"13C, 15N",2.776,1671278,557045,P
Melcal,-25.29,1237.50,,0.83,77.18,,YaySeeds,C5,Plant seeds,"13C, 15N",2.898,1671279,557046,P
Phlgra,-28.70,1279.71,,-2.99,80.48,,YaySeeds,C6,Plant seeds,"13C, 15N",2.719,1671280,557047,P
Micdou,-28.60,1438.52,,1.71,66.73,,YaySeeds,C7,Plant seeds,"13C, 15N",2.856,1671281,557048,P
Fripur,-28.61,1427.91,,-0.45,94.96,,YaySeeds,C8,Plant seeds,"13C, 15N",3.143,1671282,557049,P
Zigfre,-28.83,1790.88,,1.70,82.02,,YaySeeds,C9,Plant seeds,"13C, 15N",3.27,1671283,557050,P
Naspul,-24.52,1269.15,,1.26,98.74,,YaySeeds,C10,Plant seeds,"13C, 15N",3.119,1671284,557051,P
Broele-1,-26.24,1385.49,,-0.09,73.09,,YaySeeds,C11,Plant seeds,"13C, 15N",2.993,1671285,557052,P
Diccap,-28.49,1470.39,,-0.23,124.03,,YaySeeds,C12,Plant seeds,"13C, 15N",2.975,1671286,557053,P
Thycur,-27.55,1449.14,,1.92,39.89,,YaySeeds,D1,Plant seeds,"13C, 15N",3.252,1671287,557057,P
Lothum,-28.70,1226.96,,-2.54,92.69,,YaySeeds,D2,Plant seeds,"13C, 15N",2.978,1671288,557058,P
Plaere,-27.24,1311.40,,-0.51,80.48,,YaySeeds,D3,Plant seeds,"13C, 15N",2.948,1671289,557059,P
Colspa-1,-26.84,1311.40,,-2.04,63.93,,YaySeeds,D4,Plant seeds,"13C, 15N",3.195,1671290,557060,P
Urolin,-29.53,1311.40,,-1.19,64.24,,YaySeeds,D5,Plant seeds,"13C, 15N",2.959,1671291,557061,P
Trihir,-23.34,1300.83,,-0.71,101.00,,YaySeeds,D6,Plant seeds,"13C, 15N",3.134,1671292,557062,P
Vicvil,-27.29,1237.50,,-0.38,88.89,,YaySeeds,D7,Plant seeds,"13C, 15N",3.152,1671293,557063,P
Calpau,-28.46,1279.71,,1.18,78.79,,YaySeeds,D8,Plant seeds,"13C, 15N",2.827,1671294,557064,P
Trigra,-26.26,1290.27,,-0.83,101.75,,YaySeeds,D9,Plant seeds,"13C, 15N",3.248,1671295,557065,P
Agohet,-28.87,1290.27,,-0.17,116.66,,YaySeeds,D10,Plant seeds,"13C, 15N",3.038,1671296,557066,P
Giltri,-28.81,1449.14,,-0.82,91.93,,YaySeeds,D11,Plant seeds,"13C, 15N",3.23,1671297,557067,P
Lascal,-31.83,1523.57,,-0.82,136.44,,YaySeeds,D12,Plant seeds,"13C, 15N",3.24,1671298,557068,P
Avefat-1,-26.32,1237.50,,-0.75,52.17,,YaySeeds,E1,Plant seeds,"13C, 15N",2.904,1671299,557074,P
Taecap,-25.62,1205.88,,1.26,45.53,,YaySeeds,E2,Plant seeds,"13C, 15N",3.102,1671300,557075,P
Trialb,-26.28,1406.69,,-1.00,153.66,,YaySeeds,E3,Plant seeds,"13C, 15N",3.078,1671301,557076,P
Achmol,-29.89,1427.91,,4.65,103.25,,YaySeeds,E4,Plant seeds,"13C, 15N",2.912,1671302,557077,P
Hemcon-1,-25.56,1502.28,,3.44,109.23,,YaySeeds,E5,Plant seeds,"13C, 15N",3.002,1671303,557078,P
Holvir,-25.37,1640.90,,0.61,124.03,,YaySeeds,E6,Plant seeds,"13C, 15N",2.948,1671304,557079,P
Siddip,-27.63,1438.52,,3.25,90.41,,YaySeeds,E7,Plant seeds,"13C, 15N",3.296,1671305,557080,P
Lepnit,-28.23,1502.28,,3.12,123.30,,YaySeeds,E8,Plant seeds,"13C, 15N",3.286,1671306,557081,P
Epibra,-22.40,1587.51,,0.55,132.08,,YaySeeds,E9,Plant seeds,"13C, 15N",2.938,1671307,557082,P
Velrig,-24.42,1121.73,,-1.09,86.61,,YaySeeds,E10,Plant seeds,"13C, 15N",2.786,1671308,557083,P
Calcil,-27.34,1438.52,,12.79,97.98,,YaySeeds,E11,Plant seeds,"13C, 15N",3.009,1671309,557084,P
Bromad-1,-23.47,1290.27,,-2.53,82.78,,YaySeeds,E12,Plant seeds,"13C, 15N",3.064,1671310,557085,P
Epimin,-24.94,1512.92,,-2.47,124.77,,YaySeeds,F1,Plant seeds,"13C, 15N",2.944,1671311,557089,P
Athpus,-27.85,1353.72,,1.09,76.10,,YaySeeds,F2,Plant seeds,"13C, 15N",3.004,1671312,557090,P
Gilcap,-25.32,1481.02,,-2.97,78.10,,YaySeeds,F3,Plant seeds,"13C, 15N",3.064,1671313,557091,P
Censol-light,-29.02,1417.30,,-0.68,61.28,,YaySeeds,F4,Plant seeds,"13C, 15N",2.879,1671314,557092,P
Erinud,-26.43,1343.13,,-0.05,79.72,,YaySeeds,F5,Plant seeds,"13C, 15N",3.188,1671315,557093,P
Censol-dark,-29.26,1332.55,,0.18,38.14,,YaySeeds,F6,Plant seeds,"13C, 15N",2.853,1671316,557094,P
Miccal,-27.68,1248.05,,-2.21,56.34,,YaySeeds,F7,Plant seeds,"13C, 15N",2.845,1671317,557095,P
Lindic,-27.98,1715.80,,-2.12,99.49,,YaySeeds,F8,Plant seeds,"13C, 15N",3.203,1671318,557096,P
Lolmul,-27.56,1153.26,,-3.18,47.67,,YaySeeds,F9,Plant seeds,"13C, 15N",2.772,1671319,557097,P
Navjep,-26.27,1544.87,,-1.17,116.66,,YaySeeds,F10,Plant seeds,"13C, 15N",3.261,1671320,557098,P
Ran-sp,-27.13,1470.39,,-0.65,65.65,,YaySeeds,F11,Plant seeds,"13C, 15N",3.205,1671321,557099,P
Avefat-2,-26.23,1321.98,,-0.64,54.62,,YaySeeds,F12,Plant seeds,"13C, 15N",3.107,1671322,557100,P
Galmur-2,-28.93,1406.69,,-2.00,82.02,,YaySeeds,G1,Plant seeds,"13C, 15N",3.095,1671323,557106,P
Chlpom-2,-25.49,1470.39,,1.04,108.49,,YaySeeds,G2,Plant seeds,"13C, 15N",3.1,1671324,557107,P
Broele-2,-24.88,1353.72,,0.35,86.61,,YaySeeds,G3,Plant seeds,"13C, 15N",2.997,1671325,557108,P
Colspa-2,-26.26,1205.88,,-2.54,58.38,,YaySeeds,G4,Plant seeds,"13C, 15N",2.89,1671326,557109,P
Hemcon-2,-25.50,1481.02,,3.26,88.89,,YaySeeds,G5,Plant seeds,"13C, 15N",3.086,1671327,557110,P
Bromad-2,-23.78,1237.50,,-2.69,84.31,,YaySeeds,G6,Plant seeds,"13C, 15N",2.934,1671328,557111,P
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
